idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,ax,ay,az,gx,gy,gz,label
0.0,0.0,0.0,0.0,399.0,135.0,0.0,348.0,-0.3,0.92,0.22,1.0,4.0,-2.0,dui
0.0,0.0,0.0,0.0,360.0,122.0,0.0,320.0,-0.3,0.92,0.21,2.0,5.0,0.0,dui
0.0,0.0,0.0,0.0,327.0,107.0,0.0,295.0,-0.31,0.92,0.21,2.0,6.0,0.0,dui
0.0,0.0,0.0,0.0,291.0,95.0,0.0,267.0,-0.31,0.93,0.2,2.0,6.0,1.0,dui
0.0,0.0,0.0,0.0,258.0,79.0,0.0,236.0,-0.31,0.93,0.2,2.0,7.0,2.0,dui
0.0,0.0,0.0,0.0,222.0,63.0,0.0,211.0,-0.31,0.94,0.2,2.0,6.0,3.0,dui
0.0,0.0,0.0,0.0,186.0,49.0,0.0,183.0,-0.31,0.94,0.18,3.0,5.0,3.0,dui
0.0,0.0,0.0,0.0,150.0,34.0,0.0,150.0,-0.31,0.94,0.18,2.0,4.0,3.0,dui
0.0,0.0,0.0,0.0,117.0,21.0,0.0,117.0,-0.31,0.94,0.17,2.0,0.0,5.0,dui
0.0,0.0,0.0,0.0,96.0,7.0,0.0,94.0,-0.3,0.94,0.17,1.0,-2.0,7.0,dui
0.0,0.0,0.0,0.0,96.0,9.0,0.0,91.0,-0.29,0.92,0.17,2.0,-8.0,8.0,dui
0.0,0.0,0.0,0.0,96.0,9.0,0.0,91.0,-0.27,0.91,0.18,3.0,-11.0,8.0,dui
0.0,0.0,0.0,0.0,96.0,7.0,0.0,91.0,-0.26,0.9,0.18,3.0,-12.0,9.0,dui
0.0,0.0,0.0,0.0,93.0,6.0,0.0,91.0,-0.25,0.9,0.19,2.0,-15.0,9.0,dui
0.0,0.0,0.0,0.0,96.0,4.0,11.0,91.0,-0.23,0.9,0.19,3.0,-19.0,10.0,dui
0.0,0.0,0.0,0.0,93.0,4.0,11.0,91.0,-0.2,0.89,0.18,5.0,-17.0,10.0,dui
0.0,0.0,0.0,0.0,93.0,3.0,19.0,91.0,-0.19,0.9,0.19,5.0,-17.0,10.0,dui
0.0,0.0,0.0,0.0,96.0,3.0,23.0,91.0,-0.17,0.91,0.19,5.0,-17.0,9.0,dui
0.0,0.0,0.0,0.0,99.0,3.0,21.0,91.0,-0.16,0.91,0.2,3.0,-15.0,9.0,dui
0.0,0.0,0.0,0.0,99.0,1.0,21.0,91.0,-0.15,0.91,0.19,4.0,-13.0,9.0,dui
0.0,0.0,0.0,0.0,96.0,0.0,19.0,89.0,-0.14,0.93,0.18,4.0,-8.0,8.0,dui
0.0,0.0,0.0,0.0,99.0,0.0,19.0,91.0,-0.13,0.95,0.18,2.0,-7.0,7.0,dui
0.0,0.0,0.0,0.0,99.0,0.0,21.0,89.0,-0.11,0.97,0.18,1.0,-7.0,8.0,dui
0.0,0.0,0.0,0.0,99.0,0.0,23.0,89.0,-0.1,0.97,0.16,1.0,-4.0,7.0,dui
0.0,0.0,0.0,0.0,99.0,0.0,23.0,89.0,-0.1,0.97,0.17,-2.0,-6.0,6.0,dui
0.0,0.0,0.0,0.0,102.0,0.0,23.0,91.0,-0.1,0.97,0.18,-4.0,-8.0,5.0,dui
0.0,0.0,0.0,0.0,108.0,0.0,16.0,91.0,-0.1,0.95,0.19,-6.0,-8.0,5.0,dui
0.0,0.0,0.0,0.0,99.0,0.0,14.0,91.0,-0.09,0.94,0.19,-5.0,-8.0,5.0,dui
0.0,0.0,0.0,0.0,99.0,0.0,16.0,94.0,-0.09,0.95,0.2,-4.0,-7.0,3.0,dui
0.0,0.0,0.0,0.0,96.0,0.0,21.0,94.0,-0.09,0.95,0.2,-3.0,-9.0,2.0,dui
0.0,0.0,0.0,0.0,96.0,0.0,19.0,94.0,-0.08,0.95,0.21,-4.0,-10.0,2.0,dui
0.0,0.0,0.0,0.0,96.0,0.0,16.0,94.0,-0.08,0.95,0.21,-5.0,-10.0,1.0,dui
0.0,0.0,0.0,0.0,96.0,0.0,19.0,91.0,-0.08,0.94,0.21,-5.0,-9.0,0.0,dui
0.0,0.0,0.0,0.0,96.0,0.0,16.0,94.0,-0.08,0.94,0.22,-5.0,-9.0,-2.0,dui
0.0,0.0,0.0,0.0,93.0,0.0,19.0,94.0,-0.08,0.95,0.22,-3.0,-4.0,-2.0,dui
0.0,0.0,0.0,0.0,93.0,0.0,23.0,94.0,-0.08,0.96,0.22,-2.0,-3.0,-2.0,dui
0.0,0.0,0.0,0.0,87.0,0.0,31.0,96.0,-0.08,0.96,0.22,0.0,-3.0,0.0,dui
0.0,0.0,0.0,0.0,90.0,0.0,31.0,94.0,-0.08,0.97,0.21,0.0,-3.0,0.0,dui
0.0,0.0,0.0,0.0,87.0,0.0,28.0,94.0,-0.07,0.96,0.2,-2.0,-3.0,0.0,dui
0.0,0.0,0.0,0.0,87.0,1.0,40.0,91.0,-0.07,0.96,0.2,-3.0,-1.0,0.0,dui
0.0,0.0,0.0,0.0,90.0,0.0,40.0,91.0,-0.07,0.96,0.21,-4.0,0.0,0.0,dui
0.0,0.0,0.0,0.0,84.0,0.0,14.0,91.0,-0.07,0.96,0.21,-3.0,0.0,0.0,dui
0.0,0.0,0.0,0.0,87.0,0.0,11.0,91.0,-0.07,0.96,0.22,-3.0,1.0,0.0,dui
0.0,0.0,0.0,0.0,84.0,0.0,11.0,89.0,-0.07,0.95,0.22,-2.0,1.0,0.0,dui
